citations,specificity,title,author,year,isbn,in_seed_index,weighted,score,key
49,0.965,Nature's Building Blocks: An A-Z Guide to the Elements,Emsley,2011,978-0-19-960563-7,False,0.039356322636,0.03797276543391375,isbn:9780199605637
9,0.984,Inorganic Chemistry,Housecroft,2005,0130-39913-2,True,0.024813085116,0.02440476034764657,isbn:0130399132
5,0.993,Fundamentals of Analytical Chemistry,Skoog,2014,978-0-495-55828-6,False,0.024574682531999997,0.024393727584683462,isbn:9780495558286
11,0.98,The Lost Elements: The Periodic Table's Shadow Side,Fontani,2014,978-0-19-938334-4,False,0.024883604198,0.02439125383745787,isbn:9780199383344
4,0.994,Quantitative Chemical Analysis,Harris,2015,978-1-4641-3538-5,False,0.024491504610000003,0.024335013948203733,isbn:9781464135385
6,0.987,Principles of instrumental analysis,"Crouch, Stanley",2007,978-0-495-01201-6,False,0.024493300156999995,0.024169038491587816,isbn:9780495012016
7,0.97,The development of modern chemistry,"Ihde, Aaron John",1984-04-01,978-0-486-64235-2,False,0.024817438549,0.0240850225759205,isbn:9780486642352
4,0.972,"Affinity, That Elusive Dream – A Genealogy of the Chemical Revolution",Kim,2003,978-0-262-11273-4,False,0.024626671681,0.023933669033094327,isbn:9780262112734
41,0.919,Inorganic Chemistry,Wiberg,2001,978-0-12-352651-9,True,0.016224655730000013,0.014902817156533237,isbn:9780123526519
43,0.943,The Chemistry of the Actinide and Transactinide Elements,Hoffman,2006,978-1-4020-3555-5,False,0.015173769515000001,0.01430368169729074,isbn:9781402035555
28,0.941,Lehrbuch der Anorganischen Chemie,Holleman,1985,978-3-11-007511-3,False,0.014010463326999997,0.01318320966285597,isbn:9783110075113
20,0.942,Jâbir ibn Hayyân: Contribution à l'histoire des idées scientifiques dans l'Islam. I. Le corpus des écrits jâbiriens. II. Jâbir et la science grecque,Kraus,1942–1943,978-3-487-09115-0,False,0.013988147359999998,0.013180600595871821,isbn:9783487091150
28,0.927,CRC Handbook of Chemistry and Physics,,2004,978-0-8493-0485-9,True,0.014016137072000005,0.012988823773207894,isbn:9780849304859
10,0.962,"Inorganic Chemistry, 3rd Edition",Housecroft,2008,978-0-13-175553-6,True,0.013372460792000001,0.01286191757888109,isbn:9780131755536
20,0.933,General chemistry: principles and modern applications,Petrucci,2002,978-0-13-014329-7,False,0.013699592213999997,0.012787061861432168,isbn:9780130143297
14,0.939,The Nature of the Chemical Bond,Pauling,1960,978-0-8014-0333-0,False,0.013479145533999998,0.01266319184622678,isbn:9780801403330
5,0.989,Supramolecular Chemistry: Concepts and Perspectives,"Lehn, J.M.",1995,978-3-527-29311-7,False,0.012604630438,0.012470514227007443,isbn:9783527293117
5,0.97,Nomenclature of Inorganic Chemistry IUPAC Recommendations 2005.,Connelly,2005,0854044388,True,0.012806541048,0.012426365445718601,isbn:0854044388
3,0.969,The Basics of Chemistry,Myers,2003,978-0-313-31664-7,False,0.012787536048,0.012388892272351239,isbn:9780313316647
6,0.987,Principles of Bioinorganic Chemistry,S.J. Lippard,1994,978-0-935702-73-6,True,0.012543030559999998,0.012385424996897529,isbn:9780935702736
9,0.97,Nomenclature of inorganic chemistry. IUPAC Recommendations 2005,,2005,978-0-85404-438-2,True,0.012761048759,0.012382822667240187,isbn:9780854044382
4,0.992,"Classics in Total Synthesis: Targets, Strategies, Methods","Nicolaou, K.C.",1996,978-3-527-29231-8,False,0.012420584600000001,0.012320713625205553,isbn:9783527292318
7,0.984,A Tale of 7 Elements,Scerri,2013,978-0-19-539131-2,False,0.012462428759999996,0.012257112225853056,isbn:9780195391312
4,0.984,Chemical Structure and Reactivity: An Integrated Approach,Keeler,2013,978-0-19-9604135,False,0.012417183419999998,0.012216891145891246,isbn:9780199604135
4,0.988,Synthesis and Technique in Inorganic Chemistry,Angelici,1999,978-0-935702-48-4,True,0.012357899245,0.012205111136223504,isbn:9780935702484
4,0.982,Modern Inorganic Chemistry,Jolly,1984,0-07-032760-2,True,0.012408335978,0.012189175299531271,isbn:0070327602
5,0.97,The World of Physical Chemistry,Laidler,1993,0-19-855919-4,False,0.01252255528,0.012148315227878934,isbn:0198559194
4,0.99,Inorganic Chemistry,Wulfsberg,2000,978-1-891389-01-6,True,0.012252438558999998,0.012135573742870073,isbn:9781891389016
6,0.988,Handbook on the Physics and Chemistry of Rare Earths,Thyssen,2011,978-0-444-53590-0,False,0.012284227028999999,0.012135052573129917,isbn:9780444535900
3,0.993,Introduction to Organic Chemistry,Streitwieser,2017,978-93-85998-89-8,True,0.01220612931,0.012126313862600952,isbn:9789385998898
5,0.98,Physical Chemistry,Atkins,2002,0-7167-3539-3,True,0.01234911923,0.01209840539920031,isbn:0716735393
4,0.986,Handbook on the Physics and Chemistry of Rare Earths,Jørgensen,1988,978-0-444-87080-3,False,0.012261720599999998,0.012089715626063932,isbn:9780444870803
3,0.988,Principles of Chemical Nomenclature,,2011,978-1-84973-007-5,False,0.0122197317,0.012078277437920422,isbn:9781849730075
6,0.991,Chemical Applications of Group Theory,"Cotton, F.A.",1990,978-0-471-51094-9,False,0.012168059660000001,0.012064441806505018,isbn:9780471510949
4,0.989,Handbook of the physicochemical properties of the elements,,1968,978-1-4684-6066-7,False,0.012180589499999998,0.012046455858517479,isbn:9781468460667
4,0.989,The Periodic Law,Johnson,1984,0-85186-428-7,False,0.01216056606,0.012023618983072448,isbn:0851864287
4,0.985,A Chemist's Guide to Valence Bond Theory,Shaik,2007,978-0470037355,False,0.01218612314,0.012002127640209873,isbn:9780470037355
4,0.962,Essentials of computational chemistry: theories and models,Cramer,2014,978-0-470-09182-1,False,0.012449147794,0.011979484957029166,isbn:9780470091821
4,0.989,The Theory of Atomic Structure and Spectra,Cowan,1981,978-0-520-90615-0,False,0.012103688259999999,0.011971524624496573,isbn:9780520906150
3,0.974,Chemistry<sup>3</sup>,Burrows,2009,978-0-19-927789-6,False,0.01228850079,0.011970737184195638,isbn:9780199277896
4,0.98,Modern Quantum Chemistry: Introduction to Advanced Electronic Structure Theory,Szabo,1996,0-486-69186-1,True,0.01220967712,0.011967901945390777,isbn:0486691861
4,0.984,Construyendo la Tabla Periódica,Calvo Rebollar,2019,978-84-8321-908-9,False,0.012157058452,0.011961658700866747,isbn:9788483219089
